Time,Ampl
0.21279969,-24.5749
0.21280469,-24.5749
0.21280969,-24.5749
0.21281469,-24.5749
0.21281969,-24.5749
0.21282469,-24.5749
0.21282969,-23.9107
0.21283469,-23.9107
0.21283969,-24.5749
0.21284469,-23.2465
0.21284969,-23.9107
0.21285469,-23.9107
0.21285969,-23.9107
0.21286469,-24.5749
0.21286969,-23.9107
0.21287469,-24.5749
0.21287969,-24.5749
0.21288469,-24.5749
0.21288969,-24.5749
0.21289469,-23.9107
0.21289969,-24.5749
0.21290469,-24.5749
0.21290969,-23.9107
0.21291469,-23.9107
0.21291969,-23.9107
0.21292469,-24.5749
0.21292969,-23.9107
0.21293469,-23.2465
0.21293969,-24.5749
0.21294469,-24.5749
0.21294969,-23.2465
0.21295469,-23.9107
0.21295969,-23.2465
0.21296469,-23.2465
0.21296969,-23.2465
0.21297469,-23.9107
0.21297969,-23.2465
0.21298469,-23.2465
0.21298969,-23.2465
0.21299469,-23.2465
0.21299969,-23.2465
0.21300469,-23.2465
0.21300969,-23.2465
0.21301469,-23.2465
0.21301969,-23.2465
0.21302469,-21.9182
0.21302969,-23.2465
0.21303469,-22.5824
0.21303969,-22.5824
0.21304469,-23.2465
0.21304969,-23.2465
0.21305469,-22.5824
0.21305969,-23.2465
0.21306469,-23.2465
0.21306969,-23.2465
0.21307469,-23.2465
0.21307969,-22.5824
0.21308469,-22.5824
0.21308969,-23.2465
0.21309469,-22.5824
0.21309969,-23.2465
0.21310469,-22.5824
0.21310969,-22.5824
0.21311469,-23.2465
0.21311969,-23.2465
0.21312469,-22.5824
0.21312969,-22.5824
0.21313469,-21.9182
0.21313969,-22.5824
0.21314469,-22.5824
0.21314969,-21.9182
0.21315469,-22.5824
0.21315969,-22.5824
0.21316469,-21.254
0.21316969,-22.5824
0.21317469,-22.5824
0.21317969,-22.5824
0.21318469,-20.5898
0.21318969,-22.5824
0.21319469,-21.9182
0.21319969,-21.9182
0.21320469,-21.254
0.21320969,-21.9182
0.21321469,-22.5824
0.21321969,-21.9182
0.21322469,-22.5824
0.21322969,-21.9182
0.21323469,-21.9182
0.21323969,-21.9182
0.21324469,-21.254
0.21324969,-21.9182
0.21325469,-22.5824
0.21325969,-22.5824
0.21326469,-20.5898
0.21326969,-20.5898
0.21327469,-20.5898
0.21327969,-21.9182
0.21328469,-20.5898
0.21328969,-21.9182
0.21329469,-20.5898
0.21329969,-21.9182
0.21330469,-21.254
0.21330969,-21.254
0.21331469,-21.254
0.21331969,-21.254
0.21332469,-21.254
0.21332969,-21.254
0.21333469,-19.9256
0.21333969,-20.5898
0.21334469,-19.9256
0.21334969,-21.9182
0.21335469,-19.9256
0.21335969,-21.254
0.21336469,-20.5898
0.21336969,-20.5898
0.21337469,-20.5898
0.21337969,-20.5898
0.21338469,-19.9256
0.21338969,-20.5898
0.21339469,-20.5898
0.21339969,-20.5898
0.21340469,-19.9256
0.21340969,-20.5898
0.21341469,-19.2614
0.21341969,-19.9256
0.21342469,-19.2614
0.21342969,-20.5898
0.21343469,-19.9256
0.21343969,-20.5898
0.21344469,-19.2614
0.21344969,-20.5898
0.21345469,-20.5898
0.21345969,-19.9256
0.21346469,-19.9256
0.21346969,-20.5898
0.21347469,-20.5898
0.21347969,-19.9256
0.21348469,-19.2614
0.21348969,-19.9256
0.21349469,-19.9256
0.21349969,-19.9256
0.21350469,-19.2614
0.21350969,-19.9256
0.21351469,-18.5972
0.21351969,-20.5898
0.21352469,-19.2614
0.21352969,-19.2614
0.21353469,-19.2614
0.21353969,-19.2614
0.21354469,-19.2614
0.21354969,-20.5898
0.21355469,-18.5972
0.21355969,-19.2614
0.21356469,-19.2614
0.21356969,-19.2614
0.21357469,-18.5972
0.21357969,-19.2614
0.21358469,-19.2614
0.21358969,-19.2614
0.21359469,-17.933
0.21359969,-19.2614
0.21360469,-17.933
0.21360969,-18.5972
0.21361469,-17.933
0.21361969,-18.5972
0.21362469,-18.5972
0.21362969,-18.5972
0.21363469,-17.933
0.21363969,-17.933
0.21364469,-18.5972
0.21364969,-18.5972
0.21365469,-18.5972
0.21365969,-19.2614
0.21366469,-19.2614
0.21366969,-17.933
0.21367469,-17.933
0.21367969,-19.2614
0.21368469,-17.2689
0.21368969,-19.2614
0.21369469,-18.5972
0.21369969,-18.5972
0.21370469,-17.933
0.21370969,-18.5972
0.21371469,-17.2689
0.21371969,-17.933
0.21372469,-17.933
0.21372969,-19.2614
0.21373469,-17.933
0.21373969,-18.5972
0.21374469,-17.933
0.21374969,-17.933
0.21375469,-17.2689
0.21375969,-17.933
0.21376469,-17.933
0.21376969,-17.933
0.21377469,-17.933
0.21377969,-17.933
0.21378469,-17.2689
0.21378969,-17.2689
0.21379469,-17.933
0.21379969,-17.933
0.21380469,-17.2689
0.21380969,-17.2689
0.21381469,-17.2689
0.21381969,-17.2689
0.21382469,-17.933
0.21382969,-17.2689
0.21383469,-16.6047
